id,created_at,full_text,hour,weekday,week,month,mentions_engie,critical_tweet
"1,77E+18",2024-10-03 00:00:00+00:00,"@ENGIEpartFR j’ai souscrit un contrat en 07/23 indiquant que le prix de la conso fourniture en kwh doit être fixe à 0,12634€ HT pendant 1 an ; or, depuis le 01/09, ce tarif ne cesse d’augmenter !! J’ai écrit à vos conseillers qui font semblant de ne pas comprendre et mentent !",18,Sunday,2024-09-30/2024-10-06,2024-10,True,False
"1,77E+18",2024-11-03 00:00:00+00:00,@ENGIEgroup @ENGIEpartFR sachez que je vais pas payer votre facture scandaleuse de 616€ que vous m’avez envoyé hein,19,Monday,2024-10-28/2024-11-03,2024-11,True,True
"1,77E+18",2024-12-03 00:00:00+00:00,Quand @ENGIEpartFR te facture une somme qui arrive de nulle part et qu’il cherche la petite bête pour ne pas annuler la somme. Depuis quand on demande un relevé de compte totale. Je sens que je vais en faire un tiktok avec mes 20k d’abonnés ça fera du bruit,12,Tuesday,2024-12-02/2024-12-08,2024-12,True,True
"1,77E+18",2024-12-03 00:00:00+00:00,"Bonjour @ENGIEpartFR. Comment ça se passe quand on réserve la 1/2 journée à la maison car un technicien doit venir, mais que ce dernier passe une bonne partie de l'après-midi sur le parking à discuter avec son collègue et qui, finalement, n'est jamais venu ?",16,Tuesday,2024-12-02/2024-12-08,2024-12,True,False
"1,77E+18",2024-03-13 00:00:00+00:00,bjr @ENGIEpartFR pourquoi vous me surfacturez x3 ma conso électrique ??? je suis fonctionnaire par millionnaire,14,Wednesday,2024-03-11/2024-03-17,2024-03,True,True
"1,77E+18",2024-03-13 00:00:00+00:00,"@ENGIEpartSAV @ENGIEpartFR\n Bonjour Julian, j’en suis à peu près au 5eme mail envoyé et au 18eme appel. Un rdv avait été enfin fixé, il vient d’être annulé. Je perds patience !!!",15,Wednesday,2024-03-11/2024-03-17,2024-03,True,False
"1,77E+18",2024-03-14 00:00:00+00:00,@ENGIEpartFR Sinon votre application est censé refonctionner quand ?? Ça fait 1 mois et demi qu'elle est inaccessible !!!,14,Thursday,2024-03-11/2024-03-17,2024-03,True,False
"1,77E+18",2024-03-14 00:00:00+00:00,"dites @ENGIEpartFR, il y a des gens à vos couleurs (gilet, badge) qui font du porte à porte rentre-dedans en pressant les gens de remplir des documents pour soit disant installer 1 solution gratuite de pilotage du chauffage en partenariat avec le département de l'essonne (1/2)",16,Thursday,2024-03-11/2024-03-17,2024-03,True,False
"1,77E+18",2024-03-15 00:00:00+00:00,@ENGIEpartFR c’est normal que je comprend rien à ma consommation ?\nEntre abonnement et conso c’est quoi la différence ?,11,Friday,2024-03-11/2024-03-17,2024-03,True,False
"1,77E+18",2024-03-15 00:00:00+00:00,"Tu sais quoi @ENGIEpartFR on va faire un truc. Offre moi la corde ça ira plus vite. Vive les anxiolytiques. Tu m'expliques comment j ai utilisé-33% d élec mais que j ai quasi 300€ de plus à payer ? Un jour je n'aurais plus la force, vraiment. https://t.co/pjVVXsbpUS",15,Friday,2024-03-11/2024-03-17,2024-03,True,False
"1,77E+18",2024-03-18 00:00:00+00:00,"@ENGIEpartFR ma voisine a reçu un appel téléphonique d'un homme du 0377182277 qui lui notifie son adresse et le fait qu'elle soit propriétaire mais lui répondant qu'elle n'est que locataire il lui raccroche au nez, c'est votre façon de faire ou bien ?",11,Monday,2024-03-18/2024-03-24,2024-03,True,False
"1,77E+18",2024-03-18 00:00:00+00:00,@ENGIEpartFR Ça ne vous dérange pas de me placer 43% d'augmentation sur le kWh en deux mois? Deux appels avec vos conseillers bien éduqués pour répondre de manière évasive. 😡😡\n#électricité\n#consommateur\n#énergie\n#engie\n#arnaque\n@UFCquechoisir https://t.co/CmfZ7dFUrM,19,Monday,2024-03-18/2024-03-24,2024-03,True,False
"1,77E+18",2024-03-19 00:00:00+00:00,"@ENGIEpartFR moins 13% de consommation et facture plus que doublé, du vol pour et simple !!! https://t.co/NHuZW63L94",10,Tuesday,2024-03-18/2024-03-24,2024-03,True,True
"1,77E+18",2024-03-19 00:00:00+00:00,@ENGIEpartFR sont des voleurs et ils trafiquent les données. Je vous déconseille ce fournisseur.\nExemple mon suivi en octobre m'indique une économie de 90€ et hop engie passe par là plus rien😡🤬\nNous avons un système en temps réel maintenant et bizarrement rien n'ai cohérent!,12,Tuesday,2024-03-18/2024-03-24,2024-03,True,False
"1,77E+18",2024-03-19 00:00:00+00:00,L’application @ENGIEpartFR est toujours à la ramasse. Quand est ce qu’on passe à la vitesse supérieure dites nous vite ? https://t.co/eYJ8DCLrA7,15,Tuesday,2024-03-18/2024-03-24,2024-03,True,False
"1,77E+18",2024-03-20 00:00:00+00:00,"@ENGIEpartFR dites , j'agis avec engie, vous voulez pass réparer ma clim, ça fait des mois que j'attends et que je rappelle sans résultat..... Bravo l'action...",8,Wednesday,2024-03-18/2024-03-24,2024-03,True,False
"1,77E+18",2024-03-21 00:00:00+00:00,@ENGIEpartFR a quand le retour de l'espace client sur votre site ?,10,Thursday,2024-03-18/2024-03-24,2024-03,True,False
"1,77E+18",2024-03-21 00:00:00+00:00,C’est moi ou le prix de l’électricité a augmenté en mars ? Je paie autant que lorsqu’on mon chauffage était allumé alors que je l’ai éteint il y a 4 jours ..? @ENGIEpartFR,13,Thursday,2024-03-18/2024-03-24,2024-03,True,False
